split,project,index_file
train,MSV000080008,MSV000080008.20151216_02_HeLa_PD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_03_HeLa_FT_HCD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_04_HeLa_FT_HCD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_06_HeLa_PD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_07_HeLa_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_08_HeLa_PD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_09_HeLa_HCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_12_HeLa_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_13_HeLa_HCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_14_HeLa_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_15_HeLa_FT_HCD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_16_HeLa_HCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_17_HeLa_ETcaD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_18_HeLa_ETcaD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_19_HeLa_ETcad.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_22_HeLa_HCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_23_HeLa_PD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_24_HeLaFT_HCD_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_25_HeLa_EThCD.ms2.index.npy
train,MSV000080008,MSV000080008.20151216_29_HeLa_ETcad.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1134.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1136.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1138.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1152.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1154.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1156.ms2.index.npy
train,MSV000080202,MSV000080202.OTF15-1162.ms2.index.npy
